corpus,candidate,mean_kld,kld_99.0,kld_99.9,same_top_p,dp_rms,mean_ppl_q,mean_ppl_base,ppl_ratio
wiki_q,GSQRIQ3,0.148159,1.527689,16.086218,87.189,10.202,5.634196,5.756473,0.978758
wiki_q,IQ3XXS,0.094837,0.889262,13.763644,90.083,7.697,5.940855,5.756473,1.032030
wiki_q,Q3KXL,0.055482,0.551945,9.045059,92.758,5.944,5.958566,5.756473,1.035107
wiki_q,Q4KS,0.046756,0.357873,9.570222,92.709,5.700,5.696573,5.756473,0.989594
wiki_q,Q4KS_k4,0.051823,0.360468,9.523649,92.587,5.991,5.712997,5.756473,0.992447
wiki_q,Q4KS_k8,0.043019,0.302696,9.092994,93.100,5.227,5.688481,5.756473,0.988189
wiki_q,STRIX,0.091115,0.803536,11.885790,89.570,7.579,5.595070,5.756473,0.971961
wiki_q,STRIX_k4,0.092328,0.806320,11.761017,89.191,7.789,5.620697,5.756473,0.976413
wiki_q,STRIX_k8,0.092024,0.828245,12.318320,89.533,7.638,5.588773,5.756473,0.970867
coding_q,GSQRIQ3,0.063015,0.675013,2.550314,89.614,7.693,3.095689,3.004423,1.030377
coding_q,IQ3XXS,0.055957,0.559533,2.221392,89.458,7.399,3.093720,3.004423,1.029722
coding_q,Q3KXL,0.027928,0.311403,1.079391,92.477,5.144,3.040513,3.004423,1.012012
coding_q,Q4KS,0.016463,0.175899,0.731089,92.340,4.182,3.010732,3.004423,1.002100
coding_q,Q4KS_k4,0.019419,0.179137,0.695660,92.106,4.589,3.019580,3.004423,1.005045
coding_q,Q4KS_k8,0.016736,0.171730,0.622149,92.457,4.242,3.011942,3.004423,1.002503
coding_q,STRIX,0.042534,0.399893,1.712721,88.188,6.416,3.080195,3.004423,1.025220
coding_q,STRIX_k4,0.045231,0.440561,1.626433,88.021,6.562,3.092357,3.004423,1.029268
coding_q,STRIX_k8,0.042733,0.404979,1.768847,88.109,6.476,3.083216,3.004423,1.026226
